ReturnID,OrderDetailID,ReturnDate,ReturnQuantity,ReturnReason,ReturnStatus
65,1956,2026-07-22T00:00:00,3,Not as Described,Completed
66,1996,2026-04-22T00:00:00,3,Buyer Remorse,Rejected
67,2034,2026-06-06T00:00:00,1,Buyer Remorse,Rejected
68,2035,2026-06-12T00:00:00,4,Not as Described,Approved
69,2185,2026-06-24T00:00:00,3,Wrong Size/Color,Completed
70,2191,2026-07-29T00:00:00,2,Buyer Remorse,Approved
71,2233,2026-01-09T00:00:00,4,Late Delivery,Requested
72,2239,2024-10-22T00:00:00,1,Defective Item,Rejected
73,2258,2026-04-12T00:00:00,2,,Completed
74,2266,2026-03-17T00:00:00,1,Buyer Remorse,Requested
75,2339,2025-12-01T00:00:00,4,Wrong Size/Color,Completed
76,2362,2024-08-29T00:00:00,1,,Requested
77,2369,2026-05-27T00:00:00,2,Wrong Size/Color,Approved
78,2502,2024-03-04T00:00:00,2,Not as Described,Requested
79,2528,2026-04-10T00:00:00,1,Wrong Size/Color,Rejected
80,2532,2026-07-01T00:00:00,1,Buyer Remorse,Rejected
81,2547,2025-09-17T00:00:00,1,Defective Item,Requested
82,2596,2024-05-08T00:00:00,4,,Requested
83,2653,2026-04-05T00:00:00,2,,Approved
84,2657,2025-02-26T00:00:00,3,,Rejected
85,2665,2026-09-05T00:00:00,2,Late Delivery,Rejected
86,2684,2026-09-03T00:00:00,1,Not as Described,Requested
87,2708,2026-04-27T00:00:00,1,Not as Described,Approved
88,2735,2024-10-23T00:00:00,1,Not as Described,Requested
89,2746,2026-04-01T00:00:00,1,Late Delivery,Requested
90,2747,2026-06-02T00:00:00,2,,Requested
91,2754,2026-08-11T00:00:00,2,,Completed
92,2821,2024-08-09T00:00:00,3,Late Delivery,Rejected
93,2861,2026-07-18T00:00:00,1,Buyer Remorse,Requested
94,2893,2026-03-01T00:00:00,1,Wrong Size/Color,Requested
95,2925,2026-02-11T00:00:00,1,Buyer Remorse,Requested
96,2936,2026-04-12T00:00:00,3,Wrong Size/Color,Completed
97,2949,2023-09-09T00:00:00,4,Buyer Remorse,Approved
98,2988,2025-11-27T00:00:00,3,Defective Item,Requested
99,2998,2026-05-05T00:00:00,1,Late Delivery,Requested
100,3029,2026-07-25T00:00:00,1,Late Delivery,Rejected
101,3112,2025-04-15T00:00:00,2,Defective Item,Rejected
102,3130,2026-06-20T00:00:00,1,Late Delivery,Approved
103,3142,2024-09-05T00:00:00,2,Wrong Size/Color,Requested
104,3189,2024-11-22T00:00:00,1,Buyer Remorse,Requested
105,3213,2026-07-28T00:00:00,1,Wrong Size/Color,Rejected
106,3228,2023-11-07T00:00:00,1,Not as Described,Rejected
107,3254,2023-06-04T00:00:00,1,Not as Described,Completed
108,3260,2026-04-27T00:00:00,1,Defective Item,Completed
109,3274,2025-07-15T00:00:00,2,Defective Item,Completed
110,3306,2025-09-08T00:00:00,2,,Completed
111,3314,2025-01-11T00:00:00,1,Buyer Remorse,Requested
112,3332,2024-12-15T00:00:00,3,Late Delivery,Rejected
113,3340,2026-02-27T00:00:00,1,Defective Item,Completed
114,3434,2024-08-21T00:00:00,2,Wrong Size/Color,Approved
115,3483,2026-09-05T00:00:00,2,Wrong Size/Color,Approved
116,3492,2026-07-03T00:00:00,1,Wrong Size/Color,Rejected
117,3545,2025-12-30T00:00:00,1,,Requested
118,3607,2024-01-26T00:00:00,3,,Approved
119,3617,2026-04-23T00:00:00,1,,Approved
120,3653,2024-10-31T00:00:00,1,Wrong Size/Color,Completed
121,3664,2026-08-10T00:00:00,1,Wrong Size/Color,Approved
122,3701,2025-02-19T00:00:00,2,Buyer Remorse,Rejected
123,3712,2023-12-20T00:00:00,1,Late Delivery,Approved
124,3718,2026-07-07T00:00:00,1,Defective Item,Completed
125,3737,2025-12-24T00:00:00,1,Not as Described,Completed
126,3762,2026-04-08T00:00:00,1,Buyer Remorse,Completed
127,3791,2026-09-04T00:00:00,1,Late Delivery,Requested
128,3801,2026-08-07T00:00:00,3,Buyer Remorse,Requested
129,3808,2026-07-24T00:00:00,1,Not as Described,Rejected
130,3832,2024-04-05T00:00:00,1,Buyer Remorse,Rejected
131,3837,2024-04-06T00:00:00,1,Late Delivery,Approved
132,3866,2024-12-01T00:00:00,1,Not as Described,Approved
133,3901,2026-04-26T00:00:00,1,,Completed
134,3910,2025-07-19T00:00:00,2,Late Delivery,Requested
135,3911,2025-07-17T00:00:00,3,Wrong Size/Color,Rejected
136,3938,2024-06-05T00:00:00,1,Wrong Size/Color,Requested
137,3994,2026-03-28T00:00:00,3,Defective Item,Completed
138,4023,2025-12-09T00:00:00,1,Late Delivery,Rejected
139,4180,2025-10-08T00:00:00,1,Defective Item,Completed
140,4288,2026-04-18T00:00:00,2,Defective Item,Rejected
141,4306,2026-03-07T00:00:00,1,Wrong Size/Color,Requested
142,4364,2026-02-18T00:00:00,2,Defective Item,Rejected
143,4408,2026-08-24T00:00:00,3,Not as Described,Requested
144,4458,2026-09-16T00:00:00,2,Defective Item,Rejected
145,4462,2025-06-03T00:00:00,3,Buyer Remorse,Completed
146,4481,2026-08-27T00:00:00,1,,Requested
147,4489,2025-05-09T00:00:00,3,,Approved
148,4493,2025-04-28T00:00:00,1,,Completed
149,4566,2023-10-21T00:00:00,1,,Requested
150,4568,2023-10-27T00:00:00,2,,Completed
151,4598,2025-01-17T00:00:00,3,Defective Item,Requested
152,4606,2025-11-29T00:00:00,2,,Completed
153,4620,2025-01-05T00:00:00,2,Wrong Size/Color,Rejected
154,4650,2024-07-13T00:00:00,1,Wrong Size/Color,Rejected
155,4671,2025-08-09T00:00:00,2,Wrong Size/Color,Requested
156,4739,2026-02-02T00:00:00,1,Defective Item,Approved
157,4783,2026-07-06T00:00:00,2,Defective Item,Completed
158,4845,2025-08-16T00:00:00,2,Wrong Size/Color,Completed
159,4872,2025-11-11T00:00:00,1,Late Delivery,Rejected
160,4899,2026-05-10T00:00:00,1,Late Delivery,Requested
161,4912,2026-05-01T00:00:00,3,Wrong Size/Color,Completed
162,4926,2024-01-26T00:00:00,3,Late Delivery,Rejected
163,4936,2026-09-13T00:00:00,1,Wrong Size/Color,Completed
164,4974,2025-12-21T00:00:00,1,Wrong Size/Color,Requested
165,4979,2025-05-05T00:00:00,1,Buyer Remorse,Approved
166,5060,2023-11-27T00:00:00,3,Wrong Size/Color,Rejected
167,5067,2025-03-27T00:00:00,1,Defective Item,Rejected
168,5111,2025-11-27T00:00:00,2,Defective Item,Approved
169,5121,2026-04-25T00:00:00,1,Wrong Size/Color,Approved
170,5125,2026-04-27T00:00:00,1,Not as Described,Rejected
171,5138,2024-09-01T00:00:00,1,Defective Item,Approved
172,5205,2025-11-25T00:00:00,1,Defective Item,Requested
173,5288,2025-10-26T00:00:00,1,Buyer Remorse,Completed
174,5295,2026-09-01T00:00:00,1,,Requested
175,5340,2026-05-01T00:00:00,2,Buyer Remorse,Completed
176,5353,2026-09-06T00:00:00,3,Not as Described,Requested
177,5400,2023-06-26T00:00:00,1,Buyer Remorse,Rejected
178,5490,2025-10-12T00:00:00,2,Buyer Remorse,Completed
179,5500,2025-12-25T00:00:00,1,Wrong Size/Color,Approved
180,5519,2025-09-22T00:00:00,1,Wrong Size/Color,Rejected
181,5574,2026-05-24T00:00:00,1,Defective Item,Completed
182,5626,2024-08-30T00:00:00,4,Wrong Size/Color,Rejected
183,5627,2024-08-20T00:00:00,2,,Approved
184,5636,2026-07-18T00:00:00,2,Late Delivery,Requested
185,5777,2026-05-07T00:00:00,2,Not as Described,Rejected
186,5802,2026-08-28T00:00:00,2,Not as Described,Approved
187,5815,2025-10-16T00:00:00,1,Not as Described,Completed
188,5824,2026-04-29T00:00:00,1,Late Delivery,Requested
189,5829,2025-07-22T00:00:00,1,Defective Item,Requested
190,5843,2026-07-26T00:00:00,2,Not as Described,Requested
191,5866,2024-07-15T00:00:00,1,Not as Described,Approved
192,5897,2026-03-10T00:00:00,1,Wrong Size/Color,Completed
193,5901,2026-08-28T00:00:00,1,Buyer Remorse,Completed
194,5910,2026-06-19T00:00:00,2,Late Delivery,Completed
195,5914,2026-06-21T00:00:00,1,Wrong Size/Color,Completed
196,5918,2025-05-09T00:00:00,1,,Rejected
197,5968,2023-12-16T00:00:00,1,Wrong Size/Color,Completed
198,6004,2024-01-15T00:00:00,2,Wrong Size/Color,Requested
199,6005,2025-12-16T00:00:00,3,Not as Described,Requested
200,6032,2025-11-11T00:00:00,1,Wrong Size/Color,Requested
201,6049,2026-01-17T00:00:00,3,Not as Described,Rejected
202,6059,2025-09-23T00:00:00,1,Buyer Remorse,Rejected
203,6085,2026-05-21T00:00:00,1,,Rejected
204,6121,2025-08-30T00:00:00,2,Late Delivery,Approved
205,6128,2026-05-27T00:00:00,4,,Rejected
206,6158,2025-05-19T00:00:00,1,Defective Item,Requested
207,6160,2026-07-22T00:00:00,1,Wrong Size/Color,Completed
208,6190,2026-09-12T00:00:00,1,Not as Described,Rejected
209,6199,2024-08-26T00:00:00,4,Buyer Remorse,Approved
210,6247,2025-12-21T00:00:00,1,Not as Described,Rejected
211,6274,2026-01-13T00:00:00,2,Buyer Remorse,Approved
212,6280,2026-05-23T00:00:00,3,Wrong Size/Color,Rejected
213,6330,2024-11-18T00:00:00,4,Late Delivery,Requested
214,6367,2024-12-01T00:00:00,2,Defective Item,Requested
215,6384,2026-06-01T00:00:00,4,Late Delivery,Requested
216,6465,2025-11-27T00:00:00,3,Defective Item,Completed
217,6517,2026-05-18T00:00:00,1,,Requested
218,6557,2024-11-03T00:00:00,2,Late Delivery,Completed
219,6561,2024-10-30T00:00:00,2,Wrong Size/Color,Approved
220,6584,2026-03-15T00:00:00,1,,Approved
221,6634,2026-07-05T00:00:00,1,Defective Item,Completed
222,6650,2024-12-21T00:00:00,1,Late Delivery,Approved
223,6720,2024-06-07T00:00:00,1,Late Delivery,Completed
224,6754,2026-06-20T00:00:00,4,Late Delivery,Approved
225,6759,2026-06-25T00:00:00,1,Buyer Remorse,Approved
226,6787,2026-05-02T00:00:00,3,Late Delivery,Completed
227,6803,2026-02-26T00:00:00,3,Wrong Size/Color,Completed
228,6897,2025-10-04T00:00:00,1,Late Delivery,Approved
229,6913,2026-05-27T00:00:00,2,Buyer Remorse,Requested
230,6946,2025-04-12T00:00:00,1,Defective Item,Approved
231,7061,2026-06-22T00:00:00,1,Wrong Size/Color,Approved
232,7066,2025-06-08T00:00:00,2,,Rejected
233,7100,2026-05-17T00:00:00,2,Not as Described,Approved
234,7105,2026-06-09T00:00:00,2,Not as Described,Requested
235,7119,2026-08-29T00:00:00,1,Buyer Remorse,Rejected
236,7140,2026-09-17T00:00:00,1,Late Delivery,Completed
237,7144,2025-11-26T00:00:00,4,Not as Described,Completed
238,7191,2025-06-12T00:00:00,3,Not as Described,Completed
239,7234,2025-12-03T00:00:00,1,Not as Described,Approved
240,7238,2025-05-22T00:00:00,3,Buyer Remorse,Completed
241,7253,2025-05-16T00:00:00,3,Buyer Remorse,Approved
242,7259,2026-01-14T00:00:00,1,Not as Described,Requested
243,7271,2026-08-15T00:00:00,2,Defective Item,Rejected
244,7328,2026-02-25T00:00:00,2,Late Delivery,Completed
245,7339,2025-10-11T00:00:00,1,Late Delivery,Requested
246,7349,2026-07-10T00:00:00,3,Wrong Size/Color,Approved
247,7383,2026-06-17T00:00:00,2,Wrong Size/Color,Approved
248,7389,2024-05-02T00:00:00,3,Wrong Size/Color,Rejected
249,7391,2026-08-19T00:00:00,3,Not as Described,Rejected
250,7395,2026-08-09T00:00:00,4,Wrong Size/Color,Completed
251,7412,2023-07-02T00:00:00,3,Not as Described,Rejected
252,7451,2026-08-19T00:00:00,1,Defective Item,Completed
253,7503,2026-08-23T00:00:00,3,Buyer Remorse,Rejected
254,7541,2024-09-18T00:00:00,1,Buyer Remorse,Approved
255,7579,2025-04-12T00:00:00,1,Wrong Size/Color,Completed
256,7605,2026-05-29T00:00:00,2,Not as Described,Rejected
257,7614,2025-12-22T00:00:00,2,,Approved
258,7664,2023-12-19T00:00:00,1,Defective Item,Requested
259,7694,2025-09-13T00:00:00,1,Not as Described,Completed
260,7701,2026-05-16T00:00:00,2,Buyer Remorse,Completed
261,7765,2026-08-15T00:00:00,1,Buyer Remorse,Approved
262,7766,2026-08-18T00:00:00,1,Wrong Size/Color,Approved
263,7876,2024-10-08T00:00:00,2,Not as Described,Rejected
264,7888,2026-01-01T00:00:00,3,Late Delivery,Rejected
265,7904,2026-07-12T00:00:00,1,Not as Described,Approved
266,7912,2024-09-18T00:00:00,3,Buyer Remorse,Completed
267,7921,2026-01-17T00:00:00,1,,Completed
268,7964,2025-05-17T00:00:00,1,Defective Item,Requested
269,8030,2025-09-27T00:00:00,1,Defective Item,Completed
270,8063,2026-07-19T00:00:00,1,Defective Item,Requested
271,8066,2025-09-04T00:00:00,2,Not as Described,Completed
272,8111,2025-12-01T00:00:00,1,Buyer Remorse,Approved
273,8155,2025-09-30T00:00:00,1,Buyer Remorse,Approved
274,8177,2026-05-17T00:00:00,1,Not as Described,Completed
275,8281,2026-06-03T00:00:00,1,Buyer Remorse,Approved
276,8283,2024-05-29T00:00:00,2,Late Delivery,Rejected
277,8301,2025-12-23T00:00:00,4,,Approved
278,8317,2025-01-04T00:00:00,4,Late Delivery,Requested
279,8365,2026-08-08T00:00:00,2,Late Delivery,Rejected
280,8371,2026-09-03T00:00:00,1,Late Delivery,Rejected
281,8395,2026-03-02T00:00:00,1,Buyer Remorse,Approved
282,8405,2025-01-01T00:00:00,3,Late Delivery,Approved
283,8435,2024-10-18T00:00:00,3,Buyer Remorse,Rejected
284,8442,2025-10-11T00:00:00,3,,Requested
285,8490,2025-04-25T00:00:00,1,Defective Item,Rejected
286,8509,2025-10-02T00:00:00,1,Buyer Remorse,Approved
287,8542,2025-06-01T00:00:00,1,Not as Described,Rejected
288,8553,2026-07-05T00:00:00,1,Late Delivery,Rejected
289,8569,2024-10-07T00:00:00,2,,Rejected
290,8615,2026-07-15T00:00:00,2,Wrong Size/Color,Requested
291,8628,2026-04-28T00:00:00,4,Buyer Remorse,Completed
292,8668,2025-11-19T00:00:00,2,Late Delivery,Rejected
293,8674,2026-04-10T00:00:00,1,Buyer Remorse,Completed
294,8675,2025-03-18T00:00:00,1,Buyer Remorse,Requested
295,8731,2026-07-13T00:00:00,2,Buyer Remorse,Rejected
296,8761,2025-12-19T00:00:00,2,Late Delivery,Approved
297,8824,2026-08-13T00:00:00,1,,Rejected
298,8827,2026-08-08T00:00:00,3,Buyer Remorse,Approved
299,8858,2025-02-02T00:00:00,1,Late Delivery,Rejected
300,8960,2026-03-23T00:00:00,2,,Completed
301,8983,2025-01-17T00:00:00,1,Defective Item,Requested
302,9014,2026-08-11T00:00:00,1,,Approved
303,9072,2025-03-22T00:00:00,3,Defective Item,Approved
304,9075,2024-01-17T00:00:00,2,Late Delivery,Approved
305,9096,2024-09-05T00:00:00,1,Not as Described,Rejected
306,9150,2026-07-22T00:00:00,3,Buyer Remorse,Rejected
307,9200,2025-07-06T00:00:00,1,Defective Item,Completed
308,9222,2026-05-28T00:00:00,2,,Completed
309,9261,2026-03-03T00:00:00,1,Late Delivery,Requested
310,9339,2026-04-11T00:00:00,3,Wrong Size/Color,Rejected
311,9357,2026-07-18T00:00:00,1,Late Delivery,Requested
312,9375,2023-11-27T00:00:00,1,Buyer Remorse,Approved
313,9427,2026-06-24T00:00:00,1,Late Delivery,Completed
314,9438,2026-08-14T00:00:00,1,Buyer Remorse,Approved
315,9448,2025-09-19T00:00:00,2,Not as Described,Rejected
316,9458,2025-01-19T00:00:00,1,Wrong Size/Color,Rejected
317,9507,2025-09-15T00:00:00,2,Wrong Size/Color,Requested
318,9550,2024-06-04T00:00:00,3,Late Delivery,Rejected
319,9560,2024-11-04T00:00:00,4,Not as Described,Requested
320,9603,2026-07-27T00:00:00,1,,Requested
321,9611,2026-07-09T00:00:00,3,Buyer Remorse,Completed
322,9625,2026-05-20T00:00:00,1,Late Delivery,Completed
323,9637,2026-04-10T00:00:00,2,Defective Item,Rejected
324,9667,2026-03-15T00:00:00,1,Buyer Remorse,Requested
325,9675,2026-02-03T00:00:00,2,Late Delivery,Requested
326,9687,2024-04-10T00:00:00,1,Wrong Size/Color,Completed
327,9772,2026-08-09T00:00:00,2,Not as Described,Approved
328,9806,2026-07-14T00:00:00,3,Wrong Size/Color,Approved
329,9824,2024-11-11T00:00:00,1,,Requested
330,9855,2026-05-02T00:00:00,3,Wrong Size/Color,Approved
331,9891,2024-05-02T00:00:00,1,,Requested
332,9934,2026-06-17T00:00:00,1,Late Delivery,Approved
333,9953,2026-06-08T00:00:00,1,Not as Described,Completed
334,9980,2026-05-08T00:00:00,1,Late Delivery,Approved
335,9986,2023-10-06T00:00:00,2,Buyer Remorse,Requested
336,10002,2024-01-16T00:00:00,1,Late Delivery,Approved
337,10021,2026-01-24T00:00:00,1,Defective Item,Approved
338,10028,2026-08-16T00:00:00,3,Defective Item,Requested
339,10035,2025-12-30T00:00:00,3,Wrong Size/Color,Rejected
340,10041,2026-03-07T00:00:00,1,Late Delivery,Rejected
341,10088,2025-11-01T00:00:00,4,Not as Described,Requested
342,10117,2026-06-20T00:00:00,1,Late Delivery,Approved
343,10159,2025-10-16T00:00:00,3,Wrong Size/Color,Requested
344,10189,2024-10-23T00:00:00,2,Defective Item,Completed
345,10277,2026-01-29T00:00:00,2,Wrong Size/Color,Requested
346,10282,2026-04-08T00:00:00,4,Wrong Size/Color,Requested
347,10305,2025-09-20T00:00:00,2,Buyer Remorse,Requested
348,10310,2025-12-09T00:00:00,2,Buyer Remorse,Requested
349,10319,2026-09-11T00:00:00,1,Defective Item,Approved
350,10351,2025-08-01T00:00:00,1,Buyer Remorse,Rejected
351,10409,2025-06-16T00:00:00,1,Defective Item,Requested
352,10427,2026-09-04T00:00:00,1,Wrong Size/Color,Completed
353,10433,2026-08-10T00:00:00,2,Buyer Remorse,Rejected
354,10482,2024-11-30T00:00:00,1,Wrong Size/Color,Completed
355,10567,2026-09-07T00:00:00,1,Buyer Remorse,Approved
356,10602,2025-12-15T00:00:00,3,Wrong Size/Color,Approved
357,10707,2024-04-25T00:00:00,1,Wrong Size/Color,Approved
358,10723,2025-07-30T00:00:00,1,,Approved
359,10773,2026-07-08T00:00:00,1,,Completed
360,10808,2026-03-27T00:00:00,1,Late Delivery,Requested
361,10821,2026-07-28T00:00:00,3,,Completed
362,10918,2025-01-06T00:00:00,1,Buyer Remorse,Approved
363,10926,2024-12-20T00:00:00,3,Late Delivery,Approved
364,10929,2025-01-18T00:00:00,1,Not as Described,Rejected
365,10935,2026-07-27T00:00:00,1,Buyer Remorse,Rejected
366,10973,2025-12-20T00:00:00,2,Defective Item,Rejected
367,10977,2023-10-29T00:00:00,1,Wrong Size/Color,Requested
368,10981,2023-11-01T00:00:00,1,Late Delivery,Rejected
369,11006,2025-10-28T00:00:00,1,Late Delivery,Rejected
370,11038,2025-11-04T00:00:00,1,Buyer Remorse,Requested
371,11074,2024-07-30T00:00:00,2,,Approved
372,11090,2026-03-22T00:00:00,3,Buyer Remorse,Requested
373,11096,2025-09-28T00:00:00,2,Not as Described,Requested
374,11101,2025-09-12T00:00:00,2,Wrong Size/Color,Rejected
375,11102,2025-09-03T00:00:00,1,Defective Item,Approved
376,11112,2024-12-31T00:00:00,1,Late Delivery,Completed
377,11136,2025-10-01T00:00:00,1,Buyer Remorse,Completed
378,11139,2026-07-01T00:00:00,1,Not as Described,Completed
379,11147,2024-09-03T00:00:00,3,Defective Item,Approved
380,11155,2025-01-09T00:00:00,1,Defective Item,Rejected
381,11182,2026-04-11T00:00:00,4,Wrong Size/Color,Approved
382,11194,2026-04-20T00:00:00,4,Wrong Size/Color,Approved
383,11207,2026-06-18T00:00:00,3,Defective Item,Rejected
384,11213,2026-01-18T00:00:00,1,Defective Item,Approved
385,11256,2025-01-15T00:00:00,3,,Completed
386,11353,2025-10-19T00:00:00,1,Not as Described,Rejected
387,11407,2025-09-04T00:00:00,1,,Approved
388,11408,2024-02-18T00:00:00,1,Not as Described,Requested
389,11422,2025-09-29T00:00:00,1,Wrong Size/Color,Rejected
390,11455,2026-08-11T00:00:00,4,,Approved
391,11542,2025-12-19T00:00:00,1,Not as Described,Rejected
392,11569,2026-05-17T00:00:00,1,,Completed
393,11580,2025-12-15T00:00:00,2,Not as Described,Approved
394,11581,2025-05-22T00:00:00,1,Not as Described,Rejected
395,11586,2026-05-31T00:00:00,3,,Approved
396,11595,2026-05-14T00:00:00,2,Not as Described,Approved
397,11605,2025-03-27T00:00:00,1,Buyer Remorse,Rejected
398,11632,2026-08-14T00:00:00,1,Not as Described,Approved
399,11699,2023-09-28T00:00:00,1,Wrong Size/Color,Approved
400,11730,2025-09-01T00:00:00,3,Not as Described,Approved
401,11770,2026-08-19T00:00:00,1,Wrong Size/Color,Rejected
402,11773,2026-08-14T00:00:00,1,,Rejected
403,11795,2026-07-30T00:00:00,1,Not as Described,Completed
404,11796,2026-07-27T00:00:00,3,,Requested
405,11808,2025-09-12T00:00:00,1,,Approved
406,11828,2025-11-27T00:00:00,2,Late Delivery,Rejected
407,11869,2025-12-27T00:00:00,1,Defective Item,Rejected
408,11882,2026-07-25T00:00:00,1,,Rejected
409,11902,2026-05-06T00:00:00,2,Buyer Remorse,Requested
410,11914,2026-06-12T00:00:00,1,Late Delivery,Rejected
411,11915,2026-06-10T00:00:00,1,,Requested
412,11937,2025-11-03T00:00:00,1,Wrong Size/Color,Requested
413,11939,2025-11-06T00:00:00,3,Late Delivery,Rejected
414,12008,2025-06-16T00:00:00,2,Wrong Size/Color,Requested
415,12010,2025-05-09T00:00:00,3,,Rejected
416,12047,2026-05-28T00:00:00,2,Late Delivery,Completed
417,12052,2026-08-01T00:00:00,1,Not as Described,Requested
418,12140,2025-04-29T00:00:00,1,,Requested
419,12152,2025-09-12T00:00:00,1,Buyer Remorse,Approved
420,12168,2024-11-15T00:00:00,2,Defective Item,Approved
421,12178,2026-06-20T00:00:00,2,Defective Item,Requested
422,12194,2024-10-04T00:00:00,4,Not as Described,Completed
423,12196,2024-10-06T00:00:00,1,Wrong Size/Color,Approved
424,12237,2025-06-17T00:00:00,2,Defective Item,Rejected
425,12254,2025-12-05T00:00:00,2,,Completed
426,12290,2026-02-20T00:00:00,3,Buyer Remorse,Completed
427,12298,2024-03-09T00:00:00,3,Wrong Size/Color,Completed
428,12299,2024-03-05T00:00:00,3,,Completed
429,12322,2025-11-03T00:00:00,1,Buyer Remorse,Completed
430,12373,2026-03-22T00:00:00,2,Late Delivery,Rejected
431,12392,2026-06-19T00:00:00,1,,Requested
432,12433,2026-07-10T00:00:00,2,,Rejected
433,12444,2026-07-06T00:00:00,3,Late Delivery,Approved
434,12450,2026-01-14T00:00:00,2,Buyer Remorse,Completed
435,12508,2025-06-04T00:00:00,1,Wrong Size/Color,Requested
436,12591,2026-08-31T00:00:00,2,,Rejected
437,12604,2026-01-04T00:00:00,1,,Approved
438,12631,2026-02-28T00:00:00,1,Late Delivery,Approved
439,12685,2026-04-12T00:00:00,1,Late Delivery,Rejected
440,12697,2025-06-27T00:00:00,3,Late Delivery,Requested
441,12709,2026-06-13T00:00:00,2,Wrong Size/Color,Rejected
442,12722,2025-08-01T00:00:00,2,Defective Item,Requested
443,12749,2026-04-05T00:00:00,1,Defective Item,Requested
444,12840,2026-05-16T00:00:00,3,Late Delivery,Requested
445,12851,2025-07-21T00:00:00,2,Buyer Remorse,Rejected
446,12959,2025-04-04T00:00:00,3,Buyer Remorse,Completed
447,12965,2025-12-31T00:00:00,1,,Requested
448,12967,2026-01-14T00:00:00,3,Buyer Remorse,Approved
449,13002,2025-12-23T00:00:00,1,Not as Described,Rejected
450,13072,2025-07-18T00:00:00,1,Late Delivery,Requested
